,ClassId,ClassName,classSummary
0,54290, 博士論文,
1,61385, 高等資訊管理,"In this course, we will cover several research methods widely employed in IS research (e.g., survey, experiment, design science, etc). In addition, being a multidisciplinary field of study, IS research (especially behavioral IS research) draws upon various existing theories developed in other disciplines to explain or predict a phenomenon of interest to IS field (e.g., individuals’ or organizations’ behavior in a socio-technical context). Hence, we will also discuss theories that are commonly adopted by IS research. Besides the lectures by the instructor, the course will also be conducted in the paper-presentation-and-critic format. Through reading and presenting assigned papers, students are expected to gain an understanding on contemporary IS research and to establish appropriate perception about what a research is. Complementarily, through paper discussions and critics, students are expected to improve their critical and logical thinking and to develop their competence in identifying and justifying interesting and valuable research questions, both of which are essential research capabilities that doctoral students need to learn. 課程目標 The objective of this course is to give students an overview of information systems and management research (or IS research for short). Information systems/technologies adopted by and deployed in firms generally have implications for improving firm performance and competitive advantages as well as enabling business innovation and transformation. However, how to realize these benefits relies on firm’s effective development and management of such information systems/technologies. Hence, IS research is a multidisciplinary field of study that focuses on the design, development, implementation, use, and impact of information technologies/systems by individuals, groups, organizations, or society. As a result, IS research encompasses a wide range of topics and involves different types of research methods, and it plays a crucial role in addressing the challenges and opportunities that arise in the digital age. 課程要求 Paper Presentations For each week that is designated to students’ presentations, two or three articles (depending on the size of the class) will be assigned. For each article to be presented, one student will be assigned as a presenter to go over the article. The presenter needs to prepare a 40-minute presentation on the assigned article. All other students in the class are expected to finish the reading and participate in discussions. Besides presenting the material reported in the assigned article, the presenter is required to highlight the following in the presentation: • What is the research gap(s) addressed in the study? What are the major contributions (both academic and practical) of the study? Justify. • What are the major research questions/objectives? Have the research questions been addressed adequately? • What are the major strengths? • What are the shortcomings or the areas of concern (challenges to the contribution or to validity of the research)? What can we do to address these shortcomings or areas of concern if we were to conduct the same research? • What are the possible extensions of the study? • What is the evolution of research relevant to the topic investigated in this study? To answer this question, you may need to conduct additional literature search, review, and summary. After each paper presentation, the instructor will facilitate in-class discussions. Thus, besides understanding the details of the research study reported in the article, all students in the class should also focus on the aforementioned questions. Theory Review Assignment and Presentation One theory review assignment will be given in this course. Students are asked to review two theories that have used in IS research. The selection of theories to review is of students’ choice. However, to avoid duplicate selection (i.e., multiple students select the same theory to review), the TA of the course will coordinate with all students in advance. When reviewing a theory, students are responsible to detail what each theory is about and to illustrate the focal theory with some IS articles that use this theory as their theoretical foundation. Each student also needs to prepare a 30-40-minutes presentation (depending on the size of the class) in class to share his/her review of theories. In addition, students are required to turn in a written assignment reoort. Term Research Project You are required to undertake individually a term research project related to IS research. Your term project needs to clearly address a research question and provide preliminary, potentially promising research results to the topic under investigation. Before you decide your project direction and scope, you are encouraged to discuss your thought(s) and plan with the instructor. In your project proposal and during the project proposal presentation, you are required to 1) articulate the motivation and importance of your research project, 2) clearly define your research objective, 3) provide a preliminary literature review, and 4) select and justify an appropriate research method. You are expected to prepare a 10-minute project proposal presentation and a 5-page written project proposal. At the end of semester, 30-40 minutes are allocated to each project presentation. Again, you are expected to report the research motivation and objective, literature review, detailed research model (or design), data collection, and important analysis results. In addition, you have to show the significance of your research project by discussing your contributions to the topic under investigation and other areas related to your research project. Participation Students are strongly encouraged to participate in class discussions. Levels of participation will be evaluated based on each student's contribution to class discussions, not just on class attendance."
2,69396, 資管博士論壇三,本課程將邀請知名學者與業界人士分享最新的資訊科技及資訊管理議題。每周課程約2小時，前90分鐘為講者演講，並安排20分鐘的問答時間與講者互動。 課程目標 藉由多元的學/業界演講讓學生了解新興資訊技術與資管新知。 課程要求 課程要求與評分方式請見第一周syllabus。
3,38246, 安全性與可靠性網路設計,系統整理中 課程目標 課程要求
4,35049, 碩士論文,
5,42818, 資訊管理,待補 課程目標 待補 課程要求 待補
6,34251, 供給鍊網路管理論文研討,
7,15523, 知識管理論文研討,Under Construction 課程目標 課程要求
8,43876, 文字探勘與摘要化論文研討,This course is designed to survey the state of the art techniques in information retrieval and text mining 課程目標 Students need to read and present papers in this courses 課程要求
9,27384, 分散式系統論文研討,"The purpose of the course is to provide a seminar on leading issues in the area of distributed computing and systems. Some selected papers will be assigned to the students for presentation and discussions, hoping to stimulate new research ideas and directions. 課程目標 課程要求"
10,49452, 網路與資訊安全論文研討,
